timestamp,time_s,mission_id,mission_phase,lat,lon,alt_m,speed_ms,gps_satellites,hdop,roll_deg,pitch_deg,yaw_deg,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,battery_pct,voltage_v,current_a,motor_temp_c,rssi_dbm,anomaly,anomaly_type
2024-03-15 10:00:00,0,0,takeoff,40.418825,-3.703895,-0.33,10444,12,2.38,918,6175,359928,-0.0798,0.3757,0.9843,-354,-3317,1539,98.04,21806,16612,65.21,-63.4,0,normal
2024-03-15 10:00:01,1,0,takeoff,40.418792,-3.70378,0.31,8412,12,1.24,1555,3117,1184,0.0696,0.3819,1.0233,-421,-408,1172,98.02,21869,14643,60.99,-72.0,0,normal
2024-03-15 10:00:02,2,0,takeoff,40.418828,-3.703695,0.72,11956,11,1.41,1131,4656,2432,-0.0639,-0.1392,1.0157,-1837,714,1647,98.01,21812,17851,67.0,-74.9,0,normal
2024-03-15 10:00:03,3,0,takeoff,40.418867,-3.703517,1.34,7.92,12,2.25,-1532,4922,4073,-0.6569,-0.4663,0.9996,-52,-16,1173,97.87,21799,14325,60.68,-65.1,0,normal
2024-03-15 10:00:04,4,0,takeoff,40.418773,-3.703522,1.94,6007,13,1.4,877,4952,4426,-107,339,1.0029,1248,-243,497,97.9,21799,12985,58.37,-68.2,0,normal
2024-03-15 10:00:05,5,0,takeoff,40.418764,-3.703554,2.75,6415,11,1.32,-0.06,5081,5577,0.3303,0.3532,0.9998,582,-157,1518,98.07,21792,12979,58.44,-62.0,0,normal
2024-03-15 10:00:06,6,0,takeoff,40.418844,-3.703401,2.9,4829,12,1.34,1346,5467,7818,0.0879,-543,1.0097,953,22,1596,98.05,21824,11499,55.05,-64.2,0,normal
2024-03-15 10:00:07,7,0,takeoff,40.41879,-3.703441,3.02,9558,11,1.57,3026,4.77,8169,0.1169,-0.1838,984,378,-303,1481,98.04,21806,15364,62.81,-65.5,0,normal
2024-03-15 10:00:08,8,0,takeoff,40.418714,-3.703248,4.34,7756,11,1.76,2474,4378,8968,-202,0.2814,1.0173,396,-135,1798,97.94,21776,14757,61.39,-68.7,0,normal
2024-03-15 10:00:09,9,0,takeoff,40.418748,-3.703266,4.25,3386,11,1.32,3742,4272,10557,0.1137,-0.1138,1.0071,146,-0.5,869,98.07,21784,10.61,54.64,-65.2,0,normal
2024-03-15 10:00:10,10,0,takeoff,40.418679,-3.703187,4.98,10.24,13,1.5,3028,3994,11835,-0.0026,0.0725,0.9947,-1351,419,1147,97.96,21.81,16427,64.98,-68.4,0,normal
2024-03-15 10:00:11,11,0,takeoff,40.418658,-3.703056,5.63,2676,11,1.74,1.31,5311,13977,-0.4973,-0.0762,0.9902,-2.33,695,1246,98.13,21877,9.91,53.5,-67.0,0,normal
2024-03-15 10:00:12,12,0,takeoff,40.418672,-3.703128,6.06,6773,12,1.27,0.09,3788,14862,0.1798,-392,1.0168,537,-773,1148,97.92,21864,13505,58.84,-68.2,0,normal
2024-03-15 10:00:13,13,0,takeoff,40.41854,-3.703076,6.83,10329,12,1.34,3538,5186,16174,0.5604,0.3566,997,1425,1176,1198,97.94,21742,16342,65.06,-66.3,0,normal
2024-03-15 10:00:14,14,0,takeoff,40.418523,-3.702978,7.14,9989,12,2.28,3343,4255,17.21,-0.1637,0.3635,986,-1984,-0.74,1.77,97.98,21899,16601,64.93,-67.9,0,normal
2024-03-15 10:00:15,15,0,takeoff,40.418554,-3.70284,7.24,2964,11,1.29,2663,3605,18473,-0.6713,-0.0619,0.9923,-338,97,1471,98.08,21852,10.33,53.94,-64.2,0,normal
2024-03-15 10:00:16,16,0,takeoff,40.418502,-3.702912,8.65,3587,12,1.39,2026,4629,18856,203,-0.1117,1.0154,-311,254,917,97.99,21765,10773,54.73,-65.8,0,normal
2024-03-15 10:00:17,17,0,takeoff,40.418537,-3.702924,8.56,7392,11,1.41,3413,3.16,20301,782,-0.3827,0.9678,1472,-1149,1011,98.0,21802,14081,60.57,-68.7,0,normal
2024-03-15 10:00:18,18,0,takeoff,40.418443,-3.702751,8.96,14428,11,1.23,4284,4397,21105,0.0873,0.3049,0.9929,1.36,1028,1455,97.95,21.72,19378,69.34,-68.5,0,normal
2024-03-15 10:00:19,19,0,takeoff,40.418384,-3.702648,9.79,8209,11,1.53,5534,3837,22695,-0.4632,0.3862,1.0214,173,174,2.15,98.02,21745,14713,61.96,-71.0,0,normal
2024-03-15 10:00:20,20,0,takeoff,40.418491,-3.702564,10.07,2298,12,1.31,5173,2887,24342,-0.3781,-0.5357,0.9966,1275,559,1562,97.99,21906,9838,52.88,-73.2,0,normal
2024-03-15 10:00:21,21,0,takeoff,40.418369,-3.702597,10.62,8.37,11,1.34,7083,3866,25267,0.2229,-0.3672,1.0055,-159,-629,1141,97.91,21772,14562,60.47,-64.4,0,normal
